Vmag,Plx,B-V,SpType,Luminousity Classes,label
9.27,21.9,0.999,K3V,V,4
8.06,7.75,0.37,F0V,V,4
8.55,2.87,0.902,G8III,III,2
8.59,10.76,0.489,F6V,V,4
8.43,4.06,1.484,K4III,III,2
8.8,3.49,1.128,K0III,III,2
8.15,6.15,0.425,F3V,V,4
7.57,12.21,0.456,F2V,V,4
9.05,9.73,0.528,G0V,V,4
6.28,13.74,0.763,G3IV,V,4
9.13,9.19,0.535,F7V,V,4
9.32,9.66,0.671,G5V,V,4
9.14,2.85,1.041,G8III,III,2
10.44,3.74,0.391,F0V,V,4
8.65,23.84,0.778,G6V,V,4
7.46,10.98,0.475,F3V,V,4
10.78,24.45,1.15,K3V,V,4
6.49,16.89,0.616,G1IV,V,4
8.56,3.95,0.196,A4V,V,4
8.27,33.89,0.863,K2V,V,4
8.34,6.18,0.386,F2IV,V,4
8.27,5.28,0.994,G8III,III,2
8.08,3.45,1.156,K2III,III,2
8.55,8.18,0.401,F2V,V,4
7.42,1.6,1.524,K4III,III,2
8.41,3.53,0.022,A0V,V,4
8.4,15.59,0.566,G2V,V,4
5.71,5.97,0.911,G8III,III,2
8.68,4.77,0.944,G8III,III,2
8.12,16.74,0.619,F8V,V,4
8.67,7.85,0.513,F5V,V,4
9.48,5.52,0.53,F5V,V,4
7.05,3.0,1.55,M1III,III,2
8.29,9.15,0.538,F6V,V,4
9.34,8.16,0.543,F7V,V,4
5.53,5.84,1.615,M2III,III,2
7.95,9.93,0.654,G0IV,V,4
7.46,4.73,0.16,A2IV,V,4
8.6,8.29,0.435,F3V,V,4
8.55,0.36,1.093,G8III,III,2
6.83,3.66,1.197,K2III,III,2
4.78,14.77,1.254,K2III,III,2
8.7,5.08,0.366,F2V,V,4
9.14,2.93,1.08,K0III,III,2
8.13,8.11,0.2,A4V,V,4
6.62,3.51,0.545,F5IV,V,4
9.04,8.98,0.546,F7V,V,4
8.96,4.39,0.306,A9V,V,4
7.04,7.5,1.06,K1III,III,2
4.37,7.86,1.631,M3III,III,2
8.6,3.09,0.1,B8V,V,4
7.09,7.03,0.999,K0III,III,2
8.68,2.07,-0.052,B9V,V,4
8.98,2.92,0.107,A3V,V,4
7.98,4.41,0.97,G9III,III,2
8.86,9.46,0.66,G3V,V,4
9.24,63.03,1.39,M0V,V,4
9.63,5.96,0.509,F5V,V,4
5.8,80.63,0.69,G3V,V,4
7.97,9.02,0.556,F7V,V,4
6.9,14.91,0.534,G0V,V,4
5.04,6.4,-0.15,B4V,V,4
6.33,7.55,0.182,A6V,V,4
5.7,26.53,0.315,F0V,V,4
8.53,2.53,1.274,K3III,III,2
7.2,-0.69,0.085,A2V,V,4
8.42,4.14,1.005,G8III,III,2
8.85,2.62,1.113,K1III,III,2
8.43,5.18,0.007,A0V,V,4
9.0,6.32,0.903,G8IV,V,4
7.76,7.41,0.967,G8IV,V,4
7.82,4.11,1.041,K0III,III,2
8.65,-0.53,1.349,K2III,III,2
6.46,6.78,1.176,K1III,III,2
8.87,3.15,0.081,A0V,V,4
9.64,6.1,0.432,F2V,V,4
9.15,8.21,0.424,F3V,V,4
9.04,4.31,0.422,F0V,V,4
9.16,4.81,0.232,A2III,III,2
9.44,5.68,0.439,F3V,V,4
6.96,15.84,0.353,F2V,V,4
9.01,2.11,0.956,G8III,III,2
8.68,3.48,1.011,K0III,III,2
8.29,13.14,0.488,F6V,V,4
9.67,2.83,0.397,F0V,V,4
8.24,25.29,0.78,G8V,V,4
8.44,9.67,0.508,F5V,V,4
7.66,20.44,0.741,G5IV,V,4
8.59,14.36,0.616,G2V,V,4
8.54,4.59,0.23,A7V,V,4
9.58,12.24,0.7,G5V,V,4
9.62,6.67,0.657,F8V,V,4
7.65,3.93,0.992,G8IV,V,4
7.09,4.24,-0.085,B8V,V,4
8.41,6.58,0.563,F6V,V,4
8.55,4.12,0.037,A1V,V,4
8.11,14.91,0.484,F6V,V,4
9.44,0.58,1.069,G8IV,V,4
9.6,7.92,0.549,G0V,V,4
5.78,11.29,1.084,K0III,III,2
6.38,7.75,0.006,A1V,V,4
8.8,5.27,1.031,K1III,III,2
7.79,2.46,-0.089,B3V,V,4
9.8,22.52,0.855,K0V,V,4
7.33,10.92,0.444,F2V,V,4
8.73,3.4,1.036,K0III,III,2
9.18,-0.43,1.169,K2III,III,2
8.94,1.59,1.181,K1IV,V,4
6.11,1.94,0.159,B9III,III,2
7.13,2.46,1.26,K1III,III,2
5.59,5.7,-0.1,B8III,III,2
7.37,11.46,0.422,F5IV,V,4
5.68,10.3,1.051,K1III,III,2
9.06,4.16,0.368,F0V,V,4
8.28,5.65,0.002,A0IV,V,4
6.09,27.18,0.632,G2V,V,4
7.83,2.91,1.256,K2III,III,2
6.61,2.13,0.025,B3V,V,4
7.82,39.06,0.755,G9V,V,4
8.97,11.56,0.674,G3V,V,4
7.47,14.53,0.55,F8V,V,4
8.13,22.09,0.71,G5V,V,4
8.23,4.41,0.986,G9III,III,2
8.41,8.49,0.461,F5V,V,4
6.47,7.63,0.946,G8II,II,1
7.73,19.78,0.537,G0V,V,4
8.64,1.96,0.889,G6III,III,2
7.53,23.9,0.577,G0V,V,4
8.14,14.25,0.593,G0V,V,4
7.1,6.27,1.128,K1III,III,2
8.49,62.48,1.076,K5V,V,4
8.38,4.33,-0.06,B9V,V,4
4.61,25.38,1.029,K1III,III,2
8.56,229.33,1.462,M2V,V,4
7.71,5.05,1.093,K0III,III,2
9.16,9.89,0.782,G8IV,V,4
7.39,4.76,0.99,K0III,III,2
7.78,4.79,1.123,K0III,III,2
7.47,2.01,1.62,M3III,III,2
8.82,18.57,0.666,G5V,V,4
9.73,6.89,0.725,G5V,V,4
7.36,4.25,0.993,K0III,III,2
6.99,4.25,1.187,K0III,III,2
5.55,8.75,0.901,G5III,III,2
8.6,1.87,1.1,K1III,III,2
9.66,-0.26,0.787,G5V,V,4
9.37,6.18,0.507,F6V,V,4
7.51,24.85,0.595,G0V,V,4
8.99,12.99,0.585,F8V,V,4
8.55,4.19,1.357,K3III,III,2
6.62,2.9,1.531,K5III,III,2
8.51,1.8,1.576,K3III,III,2
9.67,13.05,0.633,G3V,V,4
