Vmag,Plx,e_Plx,B-V
3.97,30.73,0.55,-0.032
7.00,6.54,0.85,0.937
8.24,2.77,1.08,0.090
6.75,5.10,0.91,1.386
8.03,2.16,1.23,1.649
8.38,3.45,1.15,1.777
9.97,7.18,2.99,0.409
8.59,1.87,1.10,-0.054
9.21,1.70,1.01,1.161
5.80,9.07,0.87,0.295
9.28,14.70,1.34,0.653
7.66,12.66,1.04,0.442
8.41,1.30,0.87,-0.027
7.95,5.18,1.01,0.358
6.58,6.34,0.67,1.038
6.93,2.63,0.65,-0.106
5.90,3.63,0.87,1.529
8.83,0.73,1.20,0.036
7.80,-0.70,0.60,-0.019
8.47,4.76,0.98,0.068
6.83,23.42,0.83,0.412
7.49,3.16,0.84,1.096
8.20,5.49,1.15,0.461
8.24,5.45,1.12,-0.066
4.66,14.67,0.64,0.184
7.09,6.80,0.96,1.438
8.59,3.57,0.81,0.225
8.29,8.44,1.14,0.360
10.23,-2.37,1.69,0.833
8.62,1.39,1.32,1.172
9.09,10.79,1.42,0.587
7.70,13.07,1.79,0.413
9.24,16.86,1.37,0.702
8.64,2.95,0.97,1.183
7.23,2.81,0.82,1.255
6.23,3.25,0.57,1.314
8.55,4.59,0.89,0.170
7.99,3.55,1.21,0.355
6.01,10.42,0.78,0.981
6.96,11.86,1.12,0.356
5.22,5.78,0.49,1.598
8.68,5.39,1.17,1.184
8.43,3.63,1.44,1.042
7.74,1.55,0.85,0.817
7.34,29.20,0.94,0.654
7.63,3.55,1.00,1.503
8.54,1.87,1.04,0.010
9.61,5.91,1.19,0.434
8.72,3.51,1.30,1.331
8.30,3.04,1.41,1.244
8.11,14.56,0.97,0.556
7.52,0.54,0.81,1.724
9.41,3.97,1.37,0.885
7.98,2.05,0.82,-0.070
5.88,4.85,0.66,-0.134
4.95,7.52,0.79,1.356
8.70,12.57,1.24,0.561
10.12,0.67,1.75,0.347
8.88,5.93,1.28,0.508
8.12,26.62,1.04,0.674
7.93,4.96,1.25,0.197
7.77,4.79,1.00,0.961
6.61,1.53,0.64,-0.076
9.23,0.69,2.62,0.485
5.69,10.54,0.87,0.079
7.79,12.10,1.13,0.445
9.13,2.80,1.27,0.020
5.23,15.43,0.97,0.374
7.42,2.24,0.65,-0.075
7.88,1.28,0.80,1.401
9.38,0.42,1.33,0.100
7.00,3.07,0.88,-0.093
7.93,1.65,1.22,1.564
8.84,2.41,1.21,0.291
10.06,12.64,1.77,0.797
8.88,2.15,1.39,1.189
8.33,4.05,1.16,1.100
6.50,0.89,0.73,0.127
9.14,-0.01,1.34,1.600
8.43,7.97,1.63,0.580
8.73,1.43,1.41,0.983
7.91,1.67,1.08,1.424
7.15,51.71,0.83,0.714
8.90,3.07,1.35,0.928
6.56,4.11,0.86,1.228
8.15,3.66,1.09,1.099
4.43,7.28,0.74,1.640
7.55,10.85,1.09,0.308
9.56,1.66,1.31,0.280
9.19,13.67,1.13,0.617
7.46,76.26,1.03,1.128
6.93,3.07,0.72,-0.015
6.39,2.89,0.65,1.205
4.51,8.02,0.50,1.313
8.53,2.57,0.87,-0.061
7.63,11.55,0.94,0.601
9.21,2.34,1.84,1.145
8.35,-0.85,0.73,0.120
7.30,16.10,0.81,0.793
8.26,5.86,1.17,0.144
8.21,5.11,1.17,1.018
9.59,25.09,1.72,1.040
7.88,11.40,1.07,0.451
7.59,6.83,1.55,0.352
8.14,8.85,1.07,0.434
8.82,4.80,1.17,0.141
8.24,3.16,1.00,1.458
9.04,11.69,1.20,0.632
8.78,1.91,0.90,0.040
7.03,7.53,1.20,0.075
7.24,7.29,1.10,0.495
4.77,8.05,0.83,1.417
9.56,27.72,1.34,0.952
6.85,5.79,0.91,1.031
8.77,5.21,1.15,0.477
8.20,0.66,1.15,1.307
9.34,5.52,1.29,0.739
8.19,10.93,1.27,0.462
7.09,3.79,0.99,1.229
9.98,8.45,1.61,0.636
6.44,17.38,0.76,0.503
6.83,-1.23,0.96,0.874
8.35,3.63,0.93,1.082
7.28,64.17,0.85,0.815
8.44,6.82,1.09,0.375
7.84,2.16,0.83,-0.050
8.33,1.76,1.13,1.050
8.02,3.91,1.08,0.112
8.22,5.30,0.97,0.175
8.94,0.09,1.21,0.630
8.73,9.73,1.35,0.548
6.68,15.39,1.12,0.347
8.63,3.28,1.14,1.042
9.14,1.36,1.33,1.338
6.91,35.88,0.89,0.614
7.70,3.20,0.75,1.037
5.80,56.60,0.76,0.600
8.16,2.61,0.78,-0.018
8.40,4.61,1.11,1.153
5.51,6.19,0.79,1.063
9.91,1.55,1.99,0.357
7.82,46.28,0.91,0.924
6.88,9.23,0.72,0.271
9.69,5.71,1.24,0.459
8.67,3.81,1.22,1.103
6.87,1.85,0.81,0.512
9.34,6.27,4.13,0.564
8.16,21.56,1.08,0.626
9.06,1.65,1.36,0.824
5.67,5.60,0.84,1.301
7.47,10.33,0.73,0.869
8.44,1.29,0.82,-0.022
7.49,3.47,0.95,1.513
7.51,11.65,0.91,0.429
8.58,11.28,1.04,0.528
6.16,5.63,0.54,0.037
7.83,5.18,1.27,0.294
8.87,13.06,1.43,0.511
9.13,5.10,1.39,0.236
8.77,12.07,1.13,0.495
8.63,3.81,1.03,-0.045
7.33,22.93,0.94,0.544
8.57,5.60,1.20,0.386
8.50,11.21,1.05,0.569
9.51,5.79,1.33,0.507
9.39,14.55,1.27,0.659
6.32,2.92,0.55,1.649
7.69,22.49,0.88,0.669
9.63,14.15,1.63,0.740
6.54,8.74,0.75,0.168
9.86,8.91,1.61,0.830
8.20,4.31,1.18,0.382
8.38,4.87,1.21,0.367
9.31,3.86,0.91,0.446
6.38,2.56,0.97,0.543
8.22,       ,      ,2.450
6.14,4.40,0.48,1.601
7.28,5.59,1.31,0.000
5.09,20.17,0.71,1.058
6.18,52.99,0.55,0.654
7.24,6.07,0.85,0.087
7.66,3.89,0.95,1.018
9.53,1.43,1.46,0.480
8.24,0.96,1.09,1.413
7.48,11.49,0.99,0.465
6.19,19.14,0.49,0.437
7.57,4.60,0.95,1.726
9.08,4.22,1.16,0.356
9.01,0.28,1.54,0.141
6.99,6.37,1.00,0.008
6.53,8.10,0.89,0.050
8.51,5.22,1.05,0.168
6.07,56.45,0.74,0.648
6.53,3.48,1.30,-0.069
5.40,18.78,0.44,1.191
9.05,2.10,0.98,0.059
8.77,2.65,1.33,0.272
8.10,0.02,0.76,0.663
9.66,17.56,1.74,0.800
9.03,1.43,1.27,1.078
8.53,7.12,1.50,0.753
7.60,-0.18,0.64,0.401
9.52,6.70,1.52,0.588
7.94,7.87,1.12,0.427
8.55,3.72,1.42,1.000
9.13,4.06,1.16,0.530
8.44,17.93,1.26,0.613
8.37,2.78,0.98,1.057
7.29,-0.02,0.66,0.204
7.36,0.30,0.75,0.189
8.58,11.10,1.20,0.568
8.21,0.14,0.72,0.092
8.07,6.14,1.01,0.474
8.61,1.83,1.22,1.065
8.73,12.93,1.02,0.610
8.61,2.78,1.20,1.367
7.91,4.21,0.84,1.392
7.89,2.44,1.06,1.141
5.81,27.43,0.46,0.445
9.23,11.92,2.13,0.689
8.65,4.00,1.37,0.441
5.38,41.34,0.54,0.850
7.76,9.41,1.02,0.331
6.86,2.56,0.61,1.546
8.09,9.88,1.23,0.646
7.01,2.40,0.63,1.150
8.09,4.48,1.33,0.992
8.10,3.52,1.00,0.977
7.99,21.16,1.03,0.572
9.28,4.82,1.36,0.552
7.88,2.17,0.79,1.000
8.45,0.85,1.26,1.207
7.57,7.94,1.03,0.163
8.15,6.60,2.42,0.463
9.72,6.06,1.72,0.521
8.59,-1.70,1.13,0.308
8.62,0.91,1.19,1.470
7.64,3.62,1.47,1.317
8.17,1.83,1.04,0.994
8.38,4.75,0.87,-0.028
8.02,0.98,0.96,1.604
8.07,3.64,1.05,1.026
10.25,4.55,1.72,0.543
8.67,11.13,2.21,0.660
8.21,3.92,0.78,1.172
5.08,6.68,0.71,-0.162
7.80,4.04,1.01,1.315
